"A1" "A10" "A11" "A12" "A2" "A3" "A5" "A6" "A7" "A8" "A9" "B1" "B10" "B11" "B12" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "C1" "C10" "C11" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "D1" "D10" "D11" "D12" "D3" "D4" "D5" "D6" "D7" "D8" "D9" "E1" "E10" "E11" "E12" "E2" "E3" "E4" "E5" "E6" "E7" "E8" "E9" "F1" "F10" "F11" "F12" "F2" "F3" "F4" "F5" "F6" "F7" "F8" "G1" "G10" "G11" "G12" "G2" "G3" "G4" "G5" "G6" "G7" "G8" "G9" "H1" "H10" "H11" "H12" "H2" "H3" "H4" "H5" "H6" "H7" "H8" "H9"
"sq65" 0 0 197 92 0 0 0 0 0 0 0 0 0 164 155 0 0 0 0 0 0 0 0 0 0 391 0 0 0 0 99 0 0 0 0 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 0 0 0 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq67" 0 76 0 77 0 0 0 0 24 0 727 0 0 0 0 0 0 0 14 0 0 0 29 13 16 0 0 0 0 0 0 0 19 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94 0 0 35 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 32 0 0 37 106 0 0 0 0 0 0 0 0
"sq68" 0 0 206 83 0 0 0 0 0 0 0 0 85 220 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 31 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 30 40 80 0 0 0 0 0 0 0 0 0 0 161 0 0 0 0 0 0 0 0 0 0 291 72 0 0 0 0 0 0 0 0
"sq69" 0 0 0 0 0 0 141 0 0 0 0 0 0 0 0 78 0 0 0 0 0 0 0 11 0 0 0 0 0 263 54 0 0 0 92 0 0 0 0 0 139 0 0 0 0 76 0 0 0 0 0 0 27 0 0 0 0 0 0 0 17 0 0 0 328 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 72 8 0 0 0 0 0 0 0 0 0
"sq70" 0 0 0 108 0 0 0 0 0 0 0 0 225 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98 0 0 0 0 0 0 0 0 0 0 0 42 26 171 0 0 0 0 0 0 0 0 0 0 245 0 0 0 0 0 0 0 45 0 0 214 0 0 0 0 0 0 0 0 0
"sq71" 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0 0 137 0 0 0 0 122 0 0 0 0 0 0 0 99 0 0 0 0 0 0 0 633 0 0 0 0 0 0 0 0
"sq72" 0 0 63 57 0 0 0 0 0 0 0 0 243 178 22 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 0 21 45 0 0 0 0 0 0 0 0 49 0 53 0 0 0 0 0 0 0 0 0 18 14 94 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 235 44 0 0 0 0 0 0 0 0
"sq73" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 186 0 0 0 0 0 0 0 0 0 0 179 0 0 0 0 0 0 0 495 0 0 0 0 0 0 0 0 0 0 236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 112 0 0 0 0 0 0 0 0 0 0 0
"sq74" 0 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 196 0 0 0 0 0 0 0 2 0 0 121 0 0 0 0 203 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq76" 0 0 0 10 46 54 7 0 0 0 8 0 47 0 0 27 16 0 11 0 11 27 0 0 0 0 0 0 40 0 42 57 0 0 0 0 0 0 65 0 51 0 0 0 0 0 0 0 0 20 0 0 0 0 29 0 0 0 20 0 12 310 0 6 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 15 0 0 29 32 0
"sq78" 294 0 0 0 0 0 0 0 0 0 18 0 31 0 0 0 0 0 0 0 0 0 0 94 0 0 0 0 0 0 0 0 0 0 6 64 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 20 0 0 0 188 0 0 0 0 227 0 0 0 0 0 0 23 0 0 0 0 0 0 0
"sq79" 0 0 0 41 0 0 91 0 0 0 0 0 116 100 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 192 22 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0 14 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 233 0 0 0 0 0 0 66 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0
"sq82" 0 0 0 0 0 0 0 0 0 0 0 0 183 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0 26 0 95 0 0 0 0 0 0 0 0 0 0 0 226 0 0 0 0 0 0 0 0 0 0 282 0 0 0 0 0 0 0 0 0 0 18 14 0 0 0 0 0 0 0 39
"sq83" 0 0 0 44 0 0 0 0 0 0 0 0 0 109 0 16 84 57 0 0 0 0 0 0 0 11 0 113 0 0 0 43 18 0 0 0 59 0 0 0 0 0 0 0 0 0 0 8 0 0 6 0 0 36 0 0 0 0 0 0 0 0 136 55 0 0 0 0 0 5 0 69 0 37 0 0 0 0 0 0 0 0 0 0 0 0 12 25 18 8 0 0
"sq84" 17 0 0 10 0 30 0 0 5 0 0 0 0 0 0 40 0 0 0 14 0 0 0 0 0 60 0 0 0 0 0 31 0 0 41 0 0 0 14 14 0 0 0 0 39 20 0 11 18 0 0 0 14 0 15 0 103 0 19 0 0 0 0 0 19 13 24 51 46 5 0 0 0 91 0 0 0 20 0 41 24 0 0 0 11 34 0 0 7 0 0 17
"sq86" 0 94 0 83 136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 44 0 0 0 0 0 157 0 14 0 44 0 0 0 0 0 0 0 0 0 0 0 169 0 0 0 0 0 0 0 0 8 0 27 0 0 0 0 0 0 0 0 0 118 0 0 0 0 0 0 0 0 0 0
